SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
KAJARIACER,EQ,1209.8,1241,1204,1233.2,1234,1209.8,306649,375641005.20,03-Sep-2025,13779,INE217B01036
KAKATCEM,EQ,154.79,162,153.79,159.14,159.79,153.78,17382,2747898.13,03-Sep-2025,664,INE437B01014
KALANA,SM,43.9,44.9,43,44.65,44.9,44.55,12000,531000.00,03-Sep-2025,6,INE0T0L01014
KALPATARU,EQ,394.3,406,394.2,399.5,400,394.3,167549,66967311.20,03-Sep-2025,7838,INE227J01012
KPIL,EQ,1224,1275.6,1220.2,1272.4,1267.9,1223.5,250417,314466307.80,03-Sep-2025,24936,INE220B01022
KALYANKJIL,EQ,509,521.4,509,514.1,514,508.7,7851485,4041452645.95,03-Sep-2025,58113,INE303R01014
KALYANIFRG,EQ,681.8,689.15,679,680.95,679,685,690,470344.55,03-Sep-2025,92,INE314G01014
KICL,EQ,4822,4900,4810,4884.3,4845,4745.4,2097,10209350.30,03-Sep-2025,708,INE029L01018
KSL,EQ,835,854.35,830.2,845,843,827.75,65068,54771385.20,03-Sep-2025,6106,INE907A01026
KAMATHOTEL,EQ,302.4,319,302,313.1,313.05,301.2,394678,123424485.15,03-Sep-2025,11154,INE967C01018
KAMDHENU,EQ,28.86,29.14,28.46,28.73,28.73,28.74,595240,17128357.89,03-Sep-2025,2717,INE390H01020
KAMOPAINTS,EQ,9.66,9.97,9.46,9.49,9.53,9.67,1026699,9848248.44,03-Sep-2025,3533,INE0BTI01037
KANANIIND,EQ,2.01,2.07,1.98,2.03,2.05,2.01,273506,552493.31,03-Sep-2025,498,INE879E01037
KANDARP,ST,99.3,106.4,99.3,105.75,105.75,104.5,160000,15943000.00,03-Sep-2025,45,INE0MOT01016
KANORICHEM,EQ,82.69,85.19,82.69,84.25,85.16,82.69,9553,806866.51,03-Sep-2025,319,INE138C01024
KANPRPLA,EQ,211.71,215.26,209.57,214.85,215,210.89,5913,1261935.09,03-Sep-2025,234,INE694E01014
KANSAINER,EQ,242.15,246.5,241.99,244.57,244.89,241.99,580999,141641574.75,03-Sep-2025,16444,INE531A01024
KAPSTON,EQ,243,247.34,241.58,242.64,244.4,244.91,4747,1154910.63,03-Sep-2025,196,INE542Z01028
KARMAENG,BE,51.89,51.89,50,51.07,50.63,51.79,1013,51941.72,03-Sep-2025,38,INE725L01011
KTKBANK,EQ,175.5,176.59,173.7,174.46,174.5,175.31,2047694,357976560.33,03-Sep-2025,21837,INE614B01018
KARNIKA,SM,193.05,205.9,181.4,203,205,201.55,371000,72254950.00,03-Sep-2025,283,INE0MGA01012
KARURVYSYA,EQ,211.05,211.99,207.5,208.31,208.14,210.01,1288427,269332660.20,03-Sep-2025,22183,INE036D01028
KATARIA,SM,102.95,104,102.95,104,104,103,3000,309540.00,03-Sep-2025,5,INE0SVY01018
KAUSHALYA,EQ,1589,1674.5,1584.7,1674.5,1674.5,1522.3,7413,12202000.30,03-Sep-2025,597,INE234I01028
KLL,SM,74,74.2,72.5,73.15,72.6,74,24800,1813040.00,03-Sep-2025,29,INE0Q2V01012
KSCL,EQ,1177.1,1210.8,1167,1185.1,1183.5,1176.1,132617,157939974.70,03-Sep-2025,13192,INE455I01029
KAVDEFENCE,BE,74.14,74.14,73,74.14,74.14,70.61,193289,14301694.09,03-Sep-2025,925,INE641C01019
